Food,Calories,Protein,Carbohydrates,Fat,Fiber,Serving,HealthScore,Recommendation
aloo_gobi,180,4,22,9,5,150g,7.5,"Rich in fiber and vegetables. Low in protein — pair with dal or roti for a balanced meal."
biryani,400,15,55,14,3,250g,5.5,"Balanced but rich in carbs and fat. Pair with raita and a side salad; watch portion size."
butter_chicken,490,28,12,35,2,250g,4.5,"High protein but rich in cream and butter. Best paired with a whole wheat roti and salad, in moderation."
chana_masala,280,12,40,8,10,200g,8.0,"Excellent plant protein and fiber from chickpeas. A wholesome, healthy choice."
chapati,120,3,20,3,3,40g (1 piece),7.5,"Whole wheat flatbread, a good fiber source. A healthy staple when paired with vegetables and dal."
dal_makhani,320,14,30,17,8,200g,6.5,"Good protein and fiber from lentils, but rich in cream and butter. Enjoy with rice or roti in moderation."
dal_tadka,180,10,24,5,7,200g,8.5,"High in plant protein and fiber, low in fat. A very healthy everyday choice."
gulab_jamun,300,4,40,14,0,100g (2 pieces),2.5,"Deep-fried and soaked in sugar syrup. A festive treat best enjoyed occasionally."
jalebi,280,2,45,11,0,80g,2.0,"Very high in sugar. An occasional festive indulgence, not a regular snack."
kadai_paneer,350,16,14,25,3,200g,5.5,"Good protein from paneer, but rich in oil. Pair with roti and a side salad for balance."
naan,300,8,50,7,2,90g (1 piece),4.5,"Refined flour flatbread, higher in calories than chapati. Enjoy in moderation."
poha,250,5,45,6,3,200g,7.0,"Light and easy to digest. A good breakfast option — add peanuts for extra protein."
